index,A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),P
1,3000.5425,1129.7125,3057.6375,807.2125,1058.1475,1692.755,467.0775,474.2375,1436.38,247.9975,349.325,75.2,88.62,75.75,244.535,327.815,119.6425,53.86,8.58431
2,2672.0175,841.88,2680.795,663.7975,871.0275,1687.5675,409.4,417.4025,1253.035,224.1425,265.78,67.5575,79.68,66.69,224.305,284.9425,119.98,50.695,10.33621
3,3128.4525,1218.77,3238.305,824.2125,1051.105,1866.6925,411.7975,420.6525,1300.82,217.615,366.7925,63.53,87.1,2011.3675,250.6975,331.86,112.4575,49.3,4.91
4,3144.57,1115.53,3030.8125,800.425,1068.39,471.0225,473.095,1411.9575,239.9825,321.08,78.12,90.1075,75.8225,233.2475,304.265,120.6575,62.825,50.325,7.88
5,2198.3575,678.775,2233.0225,532.2675,773.94,1444.535,332.9225,330.5125,1300.9825,169.245,304.4625,60.775,81.08,66.89,233.7875,309.985,112.39,45.705,14.89
6,2101.0025,473.945,1901.0125,474.2425,685.94,1544.815,360.615,391.7575,1261.0475,213.85,325.05,63.11,79.48,68.4975,235.7625,299.8375,111.1025,46.4375,26.1
7,2332.5425,701.3025,2314.045,606.125,855.7875,1531.47,388.5575,394.1425,1304.23,194.1625,300.985,64.53,79.89,66.89,224.4375,284.3375,108.98,46.56,26.8
8,2060.7125,460.935,2014.1625,525.58,827.135,1614.66,430.9625,480.4825,1217.71,276.075,285.9075,70.3025,79.5475,65.465,226.04,298.8675,141.3775,54.93,19.8
9,1572.4675,302.9475,1695.5,409.575,713.855,1466.65,371.6075,402.1825,1311.26,216.655,331.7625,62.295,81.675,68.615,229.9225,304.61,115.01,46.58,4.91
10,1939.5225,570.13,2223.0325,599.355,846.18,1633.69,425.8325,446.8975,1382.2175,230.3175,341.945,66.98,83.475,72.3375,239.955,309.5325,113.9975,49.08,27.15
11,2430.205,881.2075,2743.4575,677.73,883.6275,1621.885,451.71,451.665,1307.135,225.1625,279.765,72.82,81.315,81.5775,238.9875,309.36,123.63,52.5175,8.75
12,2742.3275,826.09,2514.8925,631.765,800.3725,1572.1725,420.37,440.5875,1219.76,232.885,325.3975,68.085,78.07,68.5,231.905,287.575,118.9425,50.925,19.38
13,3254.2625,1202.6525,3133.355,811.4425,1038.97,1709.9825,487.7775,497.91,1274.95,257.85,285.535,77.965,83.705,68.8475,229.495,306.6375,127.8775,57.52,8.75
14,2031.66,541.0425,2091.4325,545.1475,751.47,1510.465,396.38,394.065,1307.67,196.38,325.65,66.08,78.2,67.69,241.96,321,120.77,48.39,13.84
15,1658.715,651.74,2566.48,605.15,876.36,1623.4875,410.04,424.9575,1381.48,214.6625,335.46,65.77,84.3625,71.3475,234.87,300.5325,116.3825,47.7,4.38
16,1731.1325,661.6475,2568.5575,607.01,877.0925,1623.5125,410.0725,424.9475,1380.785,214.8875,335.7325,66.0225,83.32,71.5175,234.87,300.2375,116.0625,47.93,14.01
17,2852.22,944.085,2633.54,752.39,896.5625,1625.655,463.4375,480.33,1301.6025,248.585,326.28,73.3025,83.295,70.935,246.475,320.205,129.3525,54.83,27.5
18,2953.65,648.22,2467.3325,643.2975,931.45,1694.2725,459.8525,486.875,1417.3725,254.14,343.16,72.7575,86.3325,72.78,243.72,313.865,143.305,52.965,21.9
19,2985.405,981.6275,2921.82,794.235,1029.9975,1795.9975,465.375,486.7975,1410.9375,256.4875,341.545,74.445,86.9125,74.3475,243.325,308.9,132.4425,55.6675,39.77
20,4019.2075,1022.0125,3008.375,814.135,1032.16,1857.5975,471.93,497.18,1177.14,262.1025,276.855,75.8625,80.35,67.7325,227.5375,297.57,143.3425,55.69,40.12
